,Tweets,label
0,An inspiration in all aspects: Fashion,positive
1, fitness,positive
2, beauty and personality. :)KISSES TheFashionIcon,positive
3,Apka Apna Awam Ka Channel Frankline Tv Aam Admi Production Please Visit Or Likes  Share :)Fb Page :...,positive
4,Beautiful album from  the greatest unsung guitar genius of our time - and I've met the great backstage,positive
5,Good luck to Rich riding for great project in this Sunday. Can you donate?,positive
6,Omg he... kissed... him crying with joy,positive
7,happy anniv ming and papi!!!!! love love happy,positive
8,thanks happy,positive
9,C'mon Tweeps,positive
10, Join  vote for the singer! Do spread the word. :D,positive
11,Thanks for the great review! smile,positive
12,Yay another art raffle! Everything you need to know is in the picture :D,positive
13,Hello I hope you visit Luxor its amazing city in Egypt pleas check,positive
14,We got a Vive tracker in the office and our intern,positive
15, went to work.Don't get too excited,positive
16, this isn't,positive
17,Take a look at favourites.io You can do this and more happy,positive
18,Go back to school for music! I think I will in time happy,positive
19,Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon,positive
20,thanks for being top influencers in my community last week happy,positive
21,Share the love: thanks for being top new followers this week happy  Want this?,positive
22,retweet this tweet if you want your to be included in the nhc scrapbook!! i'll be making something out of all of the usern,positive
23,Happy 420 happy  pass it to your followers!,positive
24,Who wants some good vibes? Watch this on YouTube or TV100 application now for FREE happy,positive
25,Great to work with you too such a lovely place! Thank you for havin,positive
26,Nothing is ever as it seems. What looks bad today,positive
27, will be a blessing tomorrow happy  Keep your faith stirred up each day!,positive
28,Mmmmmmmm love naughty wives smile,positive
29,You deserve a vacation happy,positive
30,Never known how hard it is until last to  days how to resist temptation to enter politics debates on social media happy  stood firm so far,positive
31,Some summer salad inspiration for the BBQ smile,positive
32,Hey thanks for being top new followers this week! Much appreciated happy  Want this ?,positive
33,you should post this offer on this website happy,positive
34,thanks for being top new followers - have a great week happy,positive
35,I prefer it to sharm - enjoy it happy  Gouna 20km away is also quite nice - honestly anywhere away from crazy cairo is,positive
36,Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon,positive
37,Hey thanks for being top new followers this week! Much appreciated happy,positive
38,thanks for the recent follow. Much appreciated happy,positive
39,Thanks Lala.. Much needed happy,positive
40,Thanks for connecting We are passionate about  - hope you like our tweets happy,positive
41,hey,positive
42, keep smiling happy,positive
43,Said it yesterday... happy,positive
44,We love that our bloggers love us so much happy  Thank you for such an amazing review The Perfect Glasses h,positive
45,only way to make sense of those crazy edge cases is the idea of sharing revenue was offensive,positive
46, rather,positive
47,Gentle reminder on our TP guidelines happy  please read and spread. Thank you. happy KISSES TheFashionIcon,positive
48,keep being you,positive
49, cheeky :D,positive
50,smile  So true. For someone who was being recognised for her contribution to fashion,positive
51, she might have dressed a bit better.,positive
52,sounds like a lot of fun :D I like it,positive
53,Oh,positive
54, Jin was spotted at Everland today. Nice to see them having a break after the US tour happy,positive
55,There was nothing religious in it. is calling out sexism. I don't think I need to spell out my stand,positive
56,Go back to school for music! I think I will in time happy,positive
57,Theres only one thing I want to change about you . Your Last Name happy  ALDUBOnly,positive
58,welcome brother  happy,positive
59,Thanks for the recent follow Happy to connect happy  have a great Thursday.,positive
60,SONE who cant stream at Genie!You CAN stream for TY at Genie! We are still sharing some Genie IDs. If you want it,positive
61, DM us happy  S,positive
62,Spending time with dogs or other animals is great at helping you to relax and de-stress. Great idea happy,positive
63,My new video for happy  I hope you like ithappy,positive
64,Got This interview poppin happy  $$$$$,positive
65,Love your tweetability! We'd like to reach out to with an opportunity! Could you hit us with your email happy,positive
66,Thanks for the recent follow Happy to connect happy  have a great Thursday.,positive
67,uss,positive
68, I'll DM you half naked pictures happy,positive
69,Evet happy,positive
70,Well,positive
71, I hope it doesn't last too long and you at least get to enjoy the weekend. And happy birthday again happy,positive
72,Excited about event next week in Bangalore!  come happy,positive
73,Want to win a pet chick happy  Simply follow  retweet for your chance to win! Winners will be selected Sunday 23rd. Go,positive
74,Top retweeters this week,positive
75, Thank you happy,positive
