,Date,Media,Title,Article,Summary
0,"Dec 4, 2019",The New York Times,Hundreds of Thousands Are Losing Access to Food Stamps,"Under the rule, effective April 1, 2020, an area eligible for a waiver would have to have a 24-month average unemployment rate that is not only 20 percent above the national average but also at least 6 percent.

Anti-poverty groups said the administration’s focus on the unemployment rate was misleading.

“The overall unemployment rate is really a measure of the whole labor market and not people without a high school diploma who are incredibly poor and may lack transportation,” said Stacy Dean, the vice president for food assistance policy at the liberal Center on Budget and Policy Priorities. “We’re talking about a different group who just face a very different labor market.”

The rule is the first of three Agriculture Department efforts to scale back the food stamp program, and so far, Trump administration officials appear unmoved by the protests flooding in. More than 140,000 public comments were submitted on the rule that was made final on Wednesday, and they were overwhelmingly negative.

“The Trump administration is driving the vulnerable into hunger just as the Christmas season approaches,” Senator Chuck Schumer of New York, the Democratic leader, said on Wednesday. “It is heartless. It is cruel. It exposes a deep and shameful cruelness and hypocrisy in this administration.”

The department has also proposed a rule that would close what it calls a loophole that allows people with incomes up to 200 percent of the poverty level — about $50,000 for a family of four — to receive food stamps. The rule would also prevent households with more than $2,250 in assets, or $3,500 for a household with a disabled adult, from receiving food stamps. Those changes would strip nearly three million people of their benefits, the department said, and nearly one million children would lose automatic eligibility for free or reduced-price school meals. The proposal received 75,000 public comments, which were overwhelmingly negative.","Under the rule, effective April 1, 2020, an area eligible for a waiver would have to have a 24-month average unemployment rate that is not only 20 percent above the national average but also at least 6 percent.
Anti-poverty groups said the administration’s focus on the unemployment rate was misleading.
More than 140,000 public comments were submitted on the rule that was made final on Wednesday, and they were overwhelmingly negative.
The rule would also prevent households with more than $2,250 in assets, or $3,500 for a household with a disabled adult, from receiving food stamps.
Those changes would strip nearly three million people of their benefits, the department said, and nearly one million children would lose automatic eligibility for free or reduced-price school meals."
1,"Aug 8, 2019",Knoe.com,Children left without parents after Mississippi ICE raids,"Update: A spokesman for U.S. Immigration and Customs Enforcement says nearly half of those arrested during the largest immigration raid in a decade in the United States

-----------

Following the massive ICE operation in Mississippi on Aug. 7, many children are left without a mother or father and have nowhere to go.

But a community in Forest, Mississippi, is coming together with a temporary solution.

The children, some who are just toddlers, were relying on neighbors and even strangers to pick them up outside their homes after school and drive them to a community fitness center where people tried to keep them calm.

But many kids kept crying for mom and dad.

Fighting back tears, 11-year-old Magdalena Gomez Gregorio expressed to us her devastation being alone without her dad.

""Government please show some heart, let my parent be free and everyone else,"" she said.

This came after ice agents raided several food processing plants in Mississippi, arresting 680 people believed to be in the country illegally.

""While we are a nation of immigrants, more than that we are first and foremost a nation of laws,"" said Southern District U.S. Attorney Mike Hurst.

But those children and families impacted by each raid stressed their parents and friends are good people.

""I need my dad and mommy. My dad didn't do anything, he's not a criminal,"" said Magdalena.

""The children that I'm with, their moms been here for 15 years and she has no record. A lot of people here have no record they've been here for 10-12 years,"" said Christina Peralta, godmother of kids impacted.

For Christina Peralta, who's the godmother of two children who's mom was arrested, she's helpless as she watches the boys wonder when they'll see their mother again.

""He said his mom is gone, that he's upset with Trump. He said he just wants his mom back and they've been crying all day long since they got home from school,"" Peralta.

But with the help of Clear Creek Boot Camp owner Jordan Barnes and other community leaders, the kids will have a roof to sleep under at his gym for the night with donated food to eat.

""We're going to have bedding available for them and we're going to have food available for them just to get them through the night and if they need transportation to school tomorrow we'll also take care of that,"" said Barnes.

And in times like these, he stresses that you cannot forget the children through this.

""I understand the law and how everything works and everything needs to have a system, but everybody needs to hold the kids first and foremost in their minds. And that's what we've tried to do here is give them a place to stay and ease the pain a little bit,"" Barnes said.

According to the Associated Press, dozens of immigrant workers have already been released.

Officials had said Wednesday that they would release detainees who met certain conditions, such as pregnant women or those who hadn't faced immigration proceedings previously.","But a community in Forest, Mississippi, is coming together with a temporary solution.
This came after ice agents raided several food processing plants in Mississippi, arresting 680 people believed to be in the country illegally.
But those children and families impacted by each raid stressed their parents and friends are good people.
""The children that I'm with, their moms been here for 15 years and she has no record.
For Christina Peralta, who's the godmother of two children who's mom was arrested, she's helpless as she watches the boys wonder when they'll see their mother again."
2,"th · Aug 9, 2019",Reuters,Allegations of labor abuses dogged Mississippi plant years before immigration raids,"(Reuters) - Long before U.S. immigration authorities arrested 680 people at agricultural processing facilities in Mississippi this week, one of the five targeted companies faced allegations of serious labor violations including intimidation, harassment and exploitation of its largely immigrant work force, according to a federal lawsuit.

FILE PHOTO: Homeland Security Investigations (HSI) officers from Immigration and Customs Enforcement (ICE) look on after executing search warrants and making arrests at an agricultural processing facility in Canton, Mississippi, U.S. in this August 7, 2019 handout photo. Immigration and Customs Enforcement/Handout via REUTERS/File Photo

Last August, Illinois-based poultry supplier Koch Foods settled a multi-year lawsuit brought by the U.S. Equal Employment Opportunity Commission (EEOC) on behalf of more than 100 workers at the Morton, Mississippi, plant over claims the company knew - or should have known - of sexual and physical assaults against its Hispanic workers.

Mark Kaminsky, chief operating officer at Koch, said the company admitted no wrongdoing in the settlement and maintains, after fighting the matter in court for more than eight years, that all the allegations contained in the lawsuit are false.

The workers’ complaints spanned 2004 to 2008, when the plant employed more than 500 people. They alleged that a manager would grope women from behind while they were working, punch employees and throw chicken parts at them. Workers also alleged that supervisors coerced payments from them for everything from medical leave and promotions to bathroom breaks.

Privately held Koch Foods, run by billionaire Joseph Grendys, in court filings called the claims of abuse and harassment “baffling” and “outrageous.” Kaminsky said a third-party review of 9 months of 24-hour video surveillance at the plant found “absolutely no evidence” of their veracity. Koch said the plaintiffs made uncorroborated claims against the company as a means to obtain U.S. visas for crime victims who collaborate with U.S. authorities that would allow them to stay legally in the United States.

The company settled the allegations last year by paying $3.75 million and entering a three-year consent decree to prevent future violations. It agreed to implement new policies such as creating a 24-hour complaint hotline and publicly posting anti-discrimination policies, according to the EEOC.

Some workers at the Mississippi plant who lacked legal immigration status alleged in court documents that supervisors threatened to turn them in to authorities if they spoke out about their concerns.

Former federal officials and immigration attorneys said mass deportation operations like the ones conducted by the U.S. Immigration and Customs Enforcement (ICE) on Wednesday in Mississippi can have a chilling effect on future labor complaints.

“If workers are being threatened with being turned over to ICE, and then here comes ICE and arrests workers,” people could be more reluctant to speak up, said John Sandweg, a former acting ICE director during the Obama administration.

In the EEOC lawsuit, one Koch Foods employee without legal immigration status alleged that a manager sexually harassed his wife and made him pay to use the bathroom, once waiting until he had soiled himself to give him permission to leave his spot on the production line.

“If he found out that I had talked about anything that he was doing, charging money, the way he mistreated us, the dirty words he used; he told me that if I went to complain in the office that he had contacts in immigration,” the worker said in a 2012 deposition that was filed as part of the suit. “And that he knew where I lived.”

Maria Cazorla, a Cuban immigrant and lead plaintiff in a lawsuit against the company that was wrapped into the EEOC case, said in an interview on Thursday that a manager inappropriately touched her and hit her then-husband, also a co-worker, in the ribs while he was working.

According to Cazorla’s interview and court documents, her husband at the time was targeted by management and fired over his immigration status after she filed her lawsuit against the company in 2010. Cazorla, now a U.S. citizen, left the company and Mississippi and now renovates houses in Florida.

She said immigrants are often fearful of reporting abuse. “People are afraid to come forward because they think, ‘What will happen if I say something? I’ll be separated from my family, I’ll lose my job,’” Cazorla said. “They prefer to say nothing and suffer.”

The EEOC enforces federal anti-discrimination laws and can investigate employee complaints. The agency tries to settle the claims but, if unsuccessful, it can file a lawsuit against employers for workplace discrimination.

Marsha Rucker, EEOC Regional Attorney based in Birmingham, Alabama, who oversaw the lawsuit, said she did not believe the ICE action this week was connected to the EEOC’s civil complaint.

SCENES OF MASS ARRESTS

The dramatic operation on Wednesday was the biggest workplace immigration sweep since December 2006, when ICE targeted meatpacking plants in six states and arrested almost 1,300 people.

Some children of workers were left traumatized by their parents’ detention on what was for many the first day of school, according to local media reports.

“Government, please,” an 11-year-old girl said on a CBS News segment, weeping in front of a community center where she and other children were sent to spend the night. “My dad didn’t do nothing. He’s not a criminal.”

President Donald Trump has made cracking down on immigration a centerpiece of his administration and said on Friday that actions like the one this week served “as a very good deterrent” to those in the country illegally. “When people see what they saw,” he said, “they know that they’re not staying here.”

ICE officials told reporters on a call on Thursday that they had released 303 people for humanitarian reasons - if they were pregnant or a primary caretaker of children, for example. Among those released pending a hearing before an immigration judge were 18 “juveniles” who had been working in the plants, including one 14-year-old, ICE said.

Koch Foods said in a statement on its website dated Thursday that it was cooperating with the government’s ongoing investigation following the ICE arrests. Koch said the Morton, Mississippi, plant employs more than 1,000 people and that the company is “diligent about its compliance with state and federal employment eligibility laws.”

The company has been the target of ICE work site enforcement in the past.

In August 2007, immigration agents arrested more than 160 employees of a Koch Foods chicken plant in Fairfield, Ohio, and was fined around a half a million dollars. At the time, ICE said Koch Foods was being investigated for federal crimes including encouraging, inducing or harboring immigrants in the United States illegally.

Koch Foods, which according to its website is not affiliated with Koch Industries or the Koch brothers, started with 13 employees deboning and cutting up chicken in one room in 1985. It now counts more than 13,000 employees and bills itself as one of the biggest poultry processors in the United States, with facilities in Alabama, Georgia, Ohio, Tennessee and Illinois, as well as Mississippi.

In a letter to the White House, the National Chicken Council - a lobbying group - said the poultry industry “uses every tool available to verify the identify and legal immigration status of all prospective employees.” But it said there was no government system available to “confirm with confidence that new hires are legally authorized to work in the United States.”","Immigration and Customs Enforcement/Handout via REUTERS/File PhotoLast August, Illinois-based poultry supplier Koch Foods settled a multi-year lawsuit brought by the U.S.
Some workers at the Mississippi plant who lacked legal immigration status alleged in court documents that supervisors threatened to turn them in to authorities if they spoke out about their concerns.
In August 2007, immigration agents arrested more than 160 employees of a Koch Foods chicken plant in Fairfield, Ohio, and was fined around a half a million dollars.
At the time, ICE said Koch Foods was being investigated for federal crimes including encouraging, inducing or harboring immigrants in the United States illegally.
Koch Foods, which according to its website is not affiliated with Koch Industries or the Koch brothers, started with 13 employees deboning and cutting up chicken in one room in 1985."
3,"Aug 7, 2019",Wall Street Journal,Immigration Raids of Mississippi Food-Processing Plants Yield 680 Detainees,"U.S. immigration officials raided several food-processing plants in Mississippi on Wednesday, detaining 680 people suspected of being in the country illegally in what Immigration and Customs Enforcement called the largest single state worksite enforcement action.

The agency said it collaborated on the operation with the U.S. attorney’s office for the Southern District of Mississippi to raid seven sites across the state.

“The execution of federal search warrants today was simply about enforcing the rule of law in our state and throughout our great country,” said Michael Hurst, the U.S. attorney for the Southern District of Mississippi, in a statement.

The number of individuals detained on Wednesday far surpassed the previous single largest worksite enforcement operation, according to ICE officials. In April, at a raid in Collin County, Texas, ICE arrested more than 280 suspected undocumented immigrants in what was then called the largest worksite operation in a decade.

In Morton, Miss., Koch Foods, one of the largest poultry producers in the U.S., had one of its facilities raided, said Gerald Keeton, Morton’s mayor. The company didn’t immediately return requests for comment.","U.S. immigration officials raided several food-processing plants in Mississippi on Wednesday, detaining 680 people suspected of being in the country illegally in what Immigration and Customs Enforcement called the largest single state worksite enforcement action.
The agency said it collaborated on the operation with the U.S. attorney’s office for the Southern District of Mississippi to raid seven sites across the state.
The number of individuals detained on Wednesday far surpassed the previous single largest worksite enforcement operation, according to ICE officials.
In April, at a raid in Collin County, Texas, ICE arrested more than 280 suspected undocumented immigrants in what was then called the largest worksite operation in a decade.
In Morton, Miss., Koch Foods, one of the largest poultry producers in the U.S., had one of its facilities raided, said Gerald Keeton, Morton’s mayor."
4,"Feb 26, 2020",Jackson Free Press,Jackson's Food Insecurity Focus in April Expo,"In a state where one in four children go to bed hungry at night, solutions to the food insecurity that plagues Jackson and other southern cities are the goal of a series of public art installations and workshops. The Fertile Ground Expo, scheduled for April 9-11, aims to address the history and future of food access in Mississippi and beyond.

""We know when you are hungry, you can't perform at your best,"" Mayor Chokwe A. Lumumba said at a press conference Tuesday in downtown Jackson. ""Hunger is a problem that reaches beyond one's belly but affects every aspect of a person's way of life, which ultimately impacts how we function as a society.""

Agriculture may be the state's leading industry, but Mississippi remains one of the hungriest in the country, Salam Rida pointed out at the presser. She is a program manager for the expo and an urban designer for the City of Jackson.

The U.S. Department of Agriculture defines food insecurity as ""a household-level economic and social condition of limited or uncertain access to adequate food."" In a recent report, the department revealed that more than 37 million Americans lived in food-insecure households in 2018.

Mississippi has consistently ranked as one of the most food-insecure states in the nation. Between 2010 and 2018, the state ranked No. 1 in food insecurity. It also has the highest poverty rate.

One in four Mississsippians—more than 600,000 people—experience food insecurity. The issue is especially profound for the state's elderly population and children. Half the state's senior population does not have enough to eat, and about 25% of Mississippi's children go to sleep hungry.

The Mississippi Food Network reports that in Hinds County alone, nearly 62,000 people have too little to eat—more than the entire food-insecure population of North Dakota.

Food insecurity has multiple adverse health impacts, ranging from developmental problems for young people to difficulties concentrating in school. Given that nutritious foods tend to be more expensive than unhealthy foods, families struggling with food access are more likely to eat foods that are detrimental to their overall physical health. Experts also link food insecurity to additional problems such as housing access and inadequate access to medical care.

The USDA notes that a number of state-level factors affect the degree to which a state experiences food insecurity. These include wages, housing costs and unemployment as well as ""State-level policies that affect access to unemployment insurance, the State Earned Income Tax Credit, and nutrition assistance programs.""

""The goal of the expo weekend is not only to be critical of our existing food system, but to provide new ideas and solutions for developing a more food-secure environment for southern cities,"" Rida said.

Scheduled to take place in various Jackson neighborhoods experiencing food-access issues, the Fertile Ground Expo will bring together prominent area and national chefs, nutritionists, farmers, activists, artists, and policy makers for workshops, dialogues and exhibits related to food. More than 30 events will tackle topics including the history of food insecurity, how to ferment food, urban farming, food waste, the food traditions of Farish Street, the impact of food insecurity on families and more.

The event is free.

Participants include acclaimed artist Kara Walker, chef and food writer Mark Bittman, local chef Nick Wallace and interdisciplinary Mississippi artist Adrienne Domnick.

The mayor thanked Bloomberg Philanthropy for its $1-million gift to organize the expo. In 2018, Jackson became one of five cities that the philanthropic organization selected from a pool of more than 200 applicants as part of its Public Art Challenge competition. At the Feb. 25 press conference, Lumumba added that Bloomberg Philanthropy work was independent of Mike Bloomberg's campaign for the presidency, while emphasizing the need to focus on the problem of hunger.

""We live in a world of abundance, but we operate from a place of scarcity. In our society, there is no room or justification for anyone to go hungry, for anyone not to have access to healthy food options,"" the mayor said at the press conference, adding that food is how Mississippians show love in their communities.

""Food is a reflection of how we demonstrate our appreciation for people. In spaces where people often have very little to offer, food is one of the few things that they can give you and provide you to demonstrate their love and appreciation for you. As a city, we should return the love,"" he said.

For more information about the Fertile Ground Expo, including a schedule of events, click here.

Follow City Reporter Seyma Bayram on Twitter @SeymaBayram0. Send tips to [email protected].","The U.S. Department of Agriculture defines food insecurity as ""a household-level economic and social condition of limited or uncertain access to adequate food.""
Food insecurity has multiple adverse health impacts, ranging from developmental problems for young people to difficulties concentrating in school.
Experts also link food insecurity to additional problems such as housing access and inadequate access to medical care.
The USDA notes that a number of state-level factors affect the degree to which a state experiences food insecurity.
More than 30 events will tackle topics including the history of food insecurity, how to ferment food, urban farming, food waste, the food traditions of Farish Street, the impact of food insecurity on families and more."
5,"Sep 23, 2020",WLBT,MARS Food to invest $2.5M in Greenville amid Uncle Ben’s name change,"“I’m proud of the Ben’s Original brand and the Mars Food Associates who pour their hearts and souls into making the world’s best rice every day in Greenville. Mars holds a special place in our community, and we’re proud to send a piece of Greenville to dinner tables and families through Ben’s Original. Since Mars Food first announced its commitment to evolve the brand in June, they have done an outstanding job of listening to myself and many more of our community leaders and advocates to ensure our diverse voices are heard. We will continue to work together to improve education opportunities for our more than 7,500 area students and provide greater access to fresh foods for our residents. I’d like to thank Mars Food for taking a very important step forward in helping to feed opportunities that offer everyone a seat at the table.”","“I’m proud of the Ben’s Original brand and the Mars Food Associates who pour their hearts and souls into making the world’s best rice every day in Greenville.
Mars holds a special place in our community, and we’re proud to send a piece of Greenville to dinner tables and families through Ben’s Original.
Since Mars Food first announced its commitment to evolve the brand in June, they have done an outstanding job of listening to myself and many more of our community leaders and advocates to ensure our diverse voices are heard.
We will continue to work together to improve education opportunities for our more than 7,500 area students and provide greater access to fresh foods for our residents.
I’d like to thank Mars Food for taking a very important step forward in helping to feed opportunities that offer everyone a seat at the table.”"
6,"Nov 24, 2020",Jackson Clarion Ledger,Get Access,You are not authorized to view this content.,You are not authorized to view this content.
7,"Nov 29, 2018",ARTnews,"Jackson, Mississippi, Named Winner of Bloomberg Philanthropies’s 2018 Public Art Challenge","The Ron Finley Project. BEAU ROULETTE/COURTESY THE RON FINLEY PROJECT

Bloomberg Philanthropies has named Jackson, Mississippi, a winner of its 2018 Public Art Challenge. The city will now receive a $1 million grant for its project “Fertile Ground: Inspiring Dialogue About Food Access,” with all of the funds going toward public art programming planned for the next two years.

Through the project, artists, landscape architects, filmmakers, farmers, chefs, nutritionists, and community members will shape a citywide exhibition of installations, along with performances, workshops, and panels focused on nutrition and food systems in Jackson. Artists Kara Walker and Adrienne Domnick, New York Times columnist Mark Bittman, designer and gardener Ron Finley, and chef Nick Wallace are among the individuals developing these programs, which will take place in streets, gardens, an elementary school, a food lab with a pop-up kitchen, and other spaces. A representative for Bloomberg Philanthropies confirmed that Walker and Domnick will also contribute works to the show.

The Jackson Medical Foundation, Jackson State University, the W. K. Kellogg Foundation, and the Mississippi Museum of Art are among those set to facilitate “Fertile Ground” events.

Jackson mayor Chokwe Lumumba said in a statement, “The city is overjoyed to have been selected in this process. . . . To be able to aid in the aesthetic appeal of the city while delivering a message of healthy eating for the citizens of Jackson is a truly remarkable opportunity, and we are ecstatic and look forward to seeing this project come into fruition.”

Michael Bloomberg, founder of Bloomberg Philanthropies, added, “Lack of access to healthy food is a challenge in many communities across the country, and this project is a great example of how local artists can help spur conversations around important issues.”","The Ron Finley Project.
BEAU ROULETTE/COURTESY THE RON FINLEY PROJECTBloomberg Philanthropies has named Jackson, Mississippi, a winner of its 2018 Public Art Challenge.
A representative for Bloomberg Philanthropies confirmed that Walker and Domnick will also contribute works to the show.
The Jackson Medical Foundation, Jackson State University, the W. K. Kellogg Foundation, and the Mississippi Museum of Art are among those set to facilitate “Fertile Ground” events.
Jackson mayor Chokwe Lumumba said in a statement, “The city is overjoyed to have been selected in this process."
8,"Mar 30, 2020",Jackson Clarion Ledger,Mississippi coronavirus: State welfare agency offering emergency SNAP benefits to families,"CLOSE State health officer Dr. Thomas Dobbs discusses the rate of the spread of coronavirus in the state of Mississippi on March 26, 2020. Mississippi Clarion Ledger

As thousands of Mississippians face layoffs or income cuts from the economic fallout of coronavirus, the state's welfare agency is taking action to support families on food assistance programs.

The Mississippi Department of Human Services announced on Monday that recipients of the Supplemental Nutrition Assistance Program, or SNAP, will begin receiving the maximum amount of SNAP funds allowable — regardless of what they were entitled to receive under normal circumstances.

A file photo of a store accepting SNAP benefits. Mississippi's welfare agency said many recipients would see increases in their SNAP benefits to combat the economic effects of the coronavirus. (Photo: jetcityimage / iStock)

A press release from the agency explained if a single person was currently getting $100 in SNAP benefits, that person will now automatically get the maximum monthly amount for a single person: $194.

This emergency supplement will apply to March and April benefits, according to the release.

“Our primary commitment is, and always will be, helping Mississippi families when they need it most, especially during this time when so many lives are being affected,” MDHS Executive Director Bob Anderson said in the release. “We will continually make every effort to provide assistance to children and families who need it, especially in the face of the unprecedented effects of this pandemic.”

COVID-19: We are answering your questions about the coronavirus pandemic

If you or your family is already receiving SNAP benefits, this bump will happen automatically.

Families who qualify for SNAP benefits and are not currently receiving them are encouraged to apply by going to www.mdhs.ms.gov/applications. Applicants can also apply via mail, the press release said, though this will delay the process.

Here are the amounts of monthly SNAP benefits available under the emergency supplement, broken down by the number of people in the household:

1: $194

2: $355

3: $509

4: $646

5: $768

6: $921

7: $1,018

8: $1,164

9: $1,310

10: $1,456

Impacted by the coronavirus and having trouble getting help? Contact Giacomo ""Jack"" Bologna at 601-961-7282 or gbologna@gannett.com. Follow him on Twitter @gbolognaCL.

Read or Share this story: https://www.clarionledger.com/story/news/politics/2020/03/30/coronavirus-mississippi-offering-emergency-snap-benefits/5089577002/","CLOSE State health officer Dr. Thomas Dobbs discusses the rate of the spread of coronavirus in the state of Mississippi on March 26, 2020.
Mississippi Clarion LedgerAs thousands of Mississippians face layoffs or income cuts from the economic fallout of coronavirus, the state's welfare agency is taking action to support families on food assistance programs.
A file photo of a store accepting SNAP benefits.
Mississippi's welfare agency said many recipients would see increases in their SNAP benefits to combat the economic effects of the coronavirus.
Families who qualify for SNAP benefits and are not currently receiving them are encouraged to apply by going to www.mdhs.ms.gov/applications."
9,"Aug 13, 2019",Atlanta Journal Constitution,Poultry company raided by ICE in Mississippi also operates in Georgia,"ICE spokesman Bryan Cox said he would not discuss if and when his agency would carry out similar enforcement in Georgia.

“While we cannot speculate to the future, at present it does not encompass any locations in Georgia,” he said.

Federal authorities executed search warrants at seven sites across Mississippi last week, arresting 680 people suspected of being in the country illegally. Of those, 303 were placed in deportation proceedings and released from custody and 377 are still detained at facilities in Louisiana and Mississippi. The arrests, according to ICE, stemmed from a yearlong investigation.

ICE said in court records that the Koch Foods plant in Morton drew the agency’s attention after it tracked unauthorized immigrants to that location, using coordinates from federal electronic monitoring ankle bracelets.

In 2006 in Georgia, federal authorities raided a chicken processing plant in Stillmore and several homes in and around Emanuel County in east Georgia. More than 120 people suspected of being in the country illegally, mostly men, were arrested.

Afterward, many people went into hiding or left town, failing to show up for their jobs at the lumber yards, steel mills and produce companies across the county and in neighboring communities. Many women and children were left behind, some without resources. Small local businesses reported suffering losses.

Jerry Gonzalez, executive director of the Georgia Association of Latino Elected Officials, fears Georgia could experience something like that again following the events in Mississippi.

“If we were to remove undocumented workers from the picture, our poultry industry would collapse in Georgia,” he said. “Our economy would take a serious hit, and it would be destructive to families all around this state.”

Georgia's poultry industry — it employs tens of thousands of workers across the state and generates billions of dollars in economic activity — follows state and federal employment laws, said Mike Giles, president of the Georgia Poultry Federation, a trade association.

“My members are literally doing everything they can with the tools they have at their disposal to ensure they are hiring a legal workforce,” he said.

The National Chicken Council, a nonprofit trade group that represents the broiler chicken industry, sent President Donald Trump a letter Friday, saying ""the government does not provide employers with a reliable verification method to prevent identity fraud and document falsification and confirm with confidence that new hires are legally authorized to work in the United States.""

Also on Friday, three Democratic congressmen — including Homeland Security Committee Chairman Bennie Thompson of Mississippi — asked the Trump administration to turn over documents about the costs of the raids, how many people were detained and how many families with children were split up.

The issue has already resonated among several of the Democrats running to represent Georgia’s 7th Congressional District, which encompasses Cumming and rural portions of Forsyth County. Some shared stories on social media of the children whose parents were taken by federal agents during the Mississippi raids. And some, including party activist Nabilah Islam and state Rep. Brenda Lopez Romero, said what happened in Mississippi underscores the need for an overhaul of the nation’s immigration system.

""If you like to eat vegetables or any meat, you're relying on the fact that that food is available because of undocumented labor,"" said Lopez Romero, an immigration attorney who has put the issue at the heart of her bid for Congress. The way to ""minimize the effects on U.S. citizen children is by making sure we have a pathway to regularizing one's status (for their parents) so there's an actual line to get into.""

U.S. Rep. Sanford Bishop, D-Albany, who represents a largely rural southwest Georgia district, said he is concerned because “Georgia produces more poultry than any other state in the nation, and the poultry industry, and most of agriculture, rely heavily on immigrant and guest worker labor. We need a comprehensive immigration bill that will ensure agriculture employers have the legal workers that they need to keep American agriculture the most productive in the world.”

Staff writer Tamar Hallerman contributed to this report.

Federal arrest totals in Mississippi Wednesday:

Koch Foods in Morton, 243

Peco Foods in Bay Springs, 56

Peco Foods in Canton, 151

Peco Foods in Sebastopol, 45

Pearl River Foods in Carthage, 86

PH Foods in Morton, 99

Source: U.S. Immigration and Customs Enforcement

Digging Deeper

Georgia is the biggest poultry producer in the nation. The Peach State’s poultry industry employs tens of thousands of workers and generates billions of dollars in economic activity.","ICE spokesman Bryan Cox said he would not discuss if and when his agency would carry out similar enforcement in Georgia.
In 2006 in Georgia, federal authorities raided a chicken processing plant in Stillmore and several homes in and around Emanuel County in east Georgia.
Jerry Gonzalez, executive director of the Georgia Association of Latino Elected Officials, fears Georgia could experience something like that again following the events in Mississippi.
“If we were to remove undocumented workers from the picture, our poultry industry would collapse in Georgia,” he said.
The Peach State’s poultry industry employs tens of thousands of workers and generates billions of dollars in economic activity."
