,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2021-03-12 01:24:58+00:00,1370184004117356554,"...who may be without food and have difficulty with water, have access to these essential resources, in a way that is safe and follows Covid-19 social distancing guidelines.

For more information about this event or about Mississippi MOVE, call 662-205-6683 or 601-543-9600.",MississippiMOV1,Mississippi communities,0,0,0,0
1,2021-02-19 16:34:35+00:00,1362802774665232392,Jackson is looking for food trucks to help feed families without access to water and power #helpJackson https://t.co/AwWq1VkpDP,HeyAprill,"Jackson, MS",0,13,2,0
2,2021-02-09 15:58:58+00:00,1359169931649175558,"@ReflectShade @_atanas_ @docmmiller @Drstevenhobbs @DrTomMartinPhD @DrPeterBagshaw @SteveFDA @PeterHotez @EwingT_PhD @_INPST Food abundance, fruit and juice access reducing scurvy, fortification (dairy D, iodine, iron, ...), food cleanliness and sanitation farm to table, cooking, freezing, canning, adequate protein, reduced food costs, ... all part of longer lives. Could be better, but alotta good.",npkveg,"Mississippi, USA",0,0,1,0
3,2021-01-01 15:55:31+00:00,1345035936908849153,"So that's about how long the socialist/democrats believe it'll take to gain full control of Nation ! Either by strict government control of public movement, access to food, utilities, jobs, ect ! In order to bring Americans to accept socialist control !

https://t.co/tI4rSHuL2c",Lessweforget57, USA,0,0,0,0
4,2020-12-14 22:37:53+00:00,1338614215276367880,"@CedDHampton bro, I was just thinking about food accessibility in the metro. the selection is so limited. even if there are a good amount of options, many are unhealthy and render our communities as food swamps. how do you get access to quality food w/o breaking the bank?",calvertlamon,"Lorman, MS",1,0,3,0
5,2020-11-27 21:41:31+00:00,1332439433229045761,If I had access to food like I would like this being in Quarantine wouldn’t even so bad #FuckCovid,JayShad,DMV,0,0,1,0
6,2020-11-04 09:15:21+00:00,1323916736333258753,"The American Dream is https://t.co/20eBpqmPkQ can't buy a home, car or even food with employment going down, taxes going up, Americans facing increased threats from drug cartels &amp; terrorists being allowed easier access border crossing because of democrats open borders policies.",Lessweforget57, USA,0,0,0,0
7,2020-10-26 02:34:44+00:00,1320554425153409027,"@Mr_Scottch_ @briangaar Or education (they’re especially especially reluctant to fund it if that education includes slavery)
Food stamps/ EBT
Minimum wage
Unemployment (not even in the middle of a pandemic)
Basic access to hygiene products
Making medical care affordable and accessible 

Pro life my ass",jessetivy,"Mississippi, USA",0,0,0,0
8,2020-08-15 14:58:41+00:00,1294649721139724297,"Abortion access along with housing and food access instead of police great move Austin, what do these have to do with violence or police protection?
Fox News: Austin City Council just voted to cut $150 million from its police department.
https://t.co/D0AP2x7oHG

via @GoogleNews",smileingbelle,"Nesbit, MS",0,0,0,0
9,2020-06-17 21:30:05+00:00,1273367335823462412,Alice has been growing blue berries in South Jackson since 1995! You can catch her and other local farmers across the street from the @JacksonMedMall every Wednesday and Friday from 10-3! #local #farmers #jxnms #foodaccess https://t.co/13bVPVJmEC,_fertileground_,"Jackson, MS",0,0,8,0
10,2020-03-14 14:07:57+00:00,1238829219955855362,"@IAmMzWord There are some talking about this on other channels, too.
Same with those kids who may not have a way to access the free meals they normally get at school.

Time for everyone to step up and help their neighbor.
Buy them food.
Help watch the kids.
#COVID19",LauraOinAK,"Poplarville, MS",1,0,1,0
11,2020-02-25 17:44:56+00:00,1232360845067345921,Brian Howard from @AIPInstitute talking about federal policy solutions for broadband access to support food access and development in #IndianCountry at the @NCAI1944 Tribal #FoodSovereignty Summit https://t.co/ytuN3tvy5B,ColbyDuren,"Washington, DC",0,2,10,1
12,2020-01-24 05:52:12+00:00,1220585069515022337,"Dear @OleMissRebels,

I am indeed not a RebelSharkBear, but I have most definitely enjoyed seeing hundreds of pictures and videos across social media platforms of the food delivering robots. I am sincerely thankful for them, despite I don’t actually have access to them. 

xoxo❤️",LillianAngle,38863/38843,0,0,0,0
13,2019-11-30 22:38:36+00:00,1200907005709422593,"Millions could lose access to food stamps under Trump proposal, study finds

https://t.co/5o0NmGAO7q",Werdnat,Texas,0,0,0,0
14,2019-05-22 13:59:41+00:00,1131197947008491520,"The power of arts to transform food systems in disinvested communities.  IMAN has a program called corner store cyphers where arts, health and nutrition come together to bring awareness of and access to healthy produce from local farms. @ArtPlaceAmerica @kresgeart @imancentral",mdjohnson1663,"Detroit, MI",0,5,9,0
