,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2021-01-24 13:00:41+00:00,1353326858054602753,"This is really interesting, I knew food insecurity was a big problem, and that energy development was more complicated, but I had never seen anything about WHY https://t.co/pS3WexehKt",jessetivy,"Mississippi, USA",0,0,0,0
1,2021-01-22 17:42:28+00:00,1352672997283393541,MUST WATCH! This is my home &amp; just one of the issues that causes me to lose sleep at night. So many points to reflect on. Watch it!  #foodinsecurity #StillMadAtKroger  #WhyDoWeTaxFood #GrowAGarden https://t.co/FYYnDlUKJX,ggsims77,Mississippi,0,1,2,0
2,2020-12-05 16:40:28+00:00,1335262776105857026,"This is what Pandemic has turned America into, so much food insecurity and POC are the ones mostly affected. We saw lines of exotic cars waiting for food at a food bank in Dallas, now this. https://t.co/4FrzFCdUAO",OludareOkusanya,"Jackson, MS",1,0,0,0
3,2020-05-14 13:43:24+00:00,1260928702587830273,"@gstew2 Only small businesses. Still work to do to address food insecurity, healthcare, education, cities and counties and protecting workers.",jarvisdortch,"Jackson, MS",0,0,1,0
4,2020-04-02 08:16:00+00:00,1245626022000648192,"Economic sanctions amid coronavirus pandemic could lead to food insecurity, UN expert warns  https://t.co/6mYlfgvgH8",GBarta42384,"Gulfport, MS",0,0,0,0
5,2020-01-11 04:43:24+00:00,1215856712663564289,Bully's Closet and Pantry fights against food insecurity https://t.co/U4rGsucc2g,OMGItsMontelleo,"Salt Lake City, UT",0,1,9,0
6,2020-01-09 10:55:25+00:00,1215225556180111360,MSU fights food insecurity among students with new food pantry https://t.co/5HFe0y7k8G via @WCBINEWS #HailState,OMGItsMontelleo,"Salt Lake City, UT",0,7,15,0
7,2019-11-27 19:33:56+00:00,1199773367668289539,".@AMJPublicHealth’s new issue is my Thanksgiving holiday weekend reading list. Thank you for featuring pieces on immigrant and sexual health, food insecurity (&amp; SNAP), and gun violence! #publichealth https://t.co/xcUoVkj7fN",mtmorcelle,DC (Stolen Powhatan Land),0,0,0,0
8,2019-10-28 22:44:06+00:00,1188949591280029699,the fact that students face food insecurity is very upsetting,mvvlik,662,0,1,0,0
9,2019-07-25 00:21:49+00:00,1154184947802021891,"@mtmorcelle @thisislarrison @ashtonpittman @FowlerSarah @courtneyannj We recently aired a story on @16WAPTNews dealing with food insecurity, @mtmorcelle. I learned some startling numbers not only across Mississippi, but here in the Jackson Metro too. https://t.co/PoY4nzFpe0",Troy_Johnson,"Jackson, MS",1,1,1,0
10,2019-04-05 17:20:14+00:00,1114216186508713985,Intersectoral action is key to effectively fighting food insecurity in pursuit of heath justice. This great infographic from @fractweets breaks down key midstream and #upstream health system actions. #SDOH #pophealth https://t.co/IApQfbjQ06,mtmorcelle,DC (Stolen Powhatan Land),0,1,4,0
